ride_id,Name,Capacity,Avg_Day
174,10th & E St NW,15.0,24.857142857142858
239,10th & Florida Ave NW,19.0,34.142857142857146
111,10th & G St NW,23.0,15.857142857142858
252,10th & K St NW,23.0,36.0
49,10th & Monroe St NE,15.0,7.0
146,10th & U St NW,15.0,20.857142857142858
148,10th St & Constitution Ave NW,31.0,21.142857142857142
225,10th St & L'Enfant Plaza SW,23.0,32.142857142857146
91,11th & C St SE,19.0,13.0
112,11th & F St NW,15.0,16.0
207,11th & Girard St NW,19.0,29.571428571428573
130,11th & H St NE,19.0,18.571428571428573
164,11th & Kenyon St NW,27.0,23.428571428571427
364,11th & M St NW,19.0,52.0
207,11th & O St NW,19.0,29.571428571428573
183,11th & Park Rd NW,19.0,26.142857142857142
185,11th & S St NW,23.0,26.428571428571427
44,12th & Irving St NE,15.0,6.285714285714286
215,12th & L St NW,19.0,30.714285714285715
33,12th & Newton St NE,11.0,4.714285714285714
152,12th & U St NW,31.0,21.714285714285715
84,12th St & Pennsylvania Ave SE,19.0,12.0
125,13th & D St NE,31.0,17.857142857142858
74,13th & E St SE,15.0,10.571428571428571
194,13th & H St NE,27.0,27.714285714285715
218,13th & U St NW,19.0,31.142857142857142
6,13th St & Eastern Ave,15.0,0.8571428571428571
117,13th St & New York Ave NW,23.0,16.714285714285715
235,14th & Belmont St NW,15.0,33.57142857142857
101,14th & D St NW / Ronald Reagan Building,25.0,14.428571428571429
108,14th & D St SE,19.0,15.428571428571429
140,14th & G St NW,23.0,20.0
79,14th & Girard St NW,23.0,11.285714285714286
41,14th & Harvard St NW,19.0,5.857142857142857
329,14th & Irving St NW,31.0,47.0
196,14th & L St NW,19.0,28.0
13,14th & Luzon St NW,19.0,1.8571428571428572
112,14th & Newton St NW,19.0,16.0
115,14th & Otis Pl NW,19.0,16.428571428571427
173,14th & Q St NW,19.0,24.714285714285715
344,14th & R St NW,19.0,49.142857142857146
328,14th & Rhode Island Ave NW,23.0,46.857142857142854
54,14th & Upshur St NW,19.0,7.714285714285714
385,14th & V St NW,31.0,55.0
61,14th St & Colorado Ave NW,19.0,8.714285714285714
104,14th St & New York Ave NW,23.0,14.857142857142858
166,14th St & Spring Rd NW,19.0,23.714285714285715
18,14th St Heights / 14th & Crittenden St NW,11.0,2.5714285714285716
98,15th & East Capitol St NE,11.0,14.0
199,15th & Euclid St  NW,15.0,28.428571428571427
75,15th & F St NE,19.0,10.714285714285714
81,15th & Harvard St NW,23.0,11.571428571428571
118,15th & K St NW,27.0,16.857142857142858
147,15th & L St NW,23.0,21.0
135,15th & M St NW,19.0,19.285714285714285
562,15th & P St NW,19.0,80.28571428571429
325,15th & W St NW,19.0,46.42857142857143
332,15th St & Constitution Ave NW,19.0,47.42857142857143
96,15th St & Massachusetts Ave SE,15.0,13.714285714285714
52,15th St & N Scott St,11.0,7.428571428571429
226,15th St & Pennsylvania Ave NW,19.0,32.285714285714285
89,16th & Irving St NW,19.0,12.714285714285714
6,16th & Q St SE / Anacostia HS,23.0,0.8571428571428571
191,16th & R St NW,19.0,27.285714285714285
363,17th & Corcoran St NW,19.0,51.857142857142854
185,17th & G St NW,31.0,26.428571428571427
166,17th & K St NW,23.0,23.714285714285715
146,17th & K St NW / Farragut Square,35.0,20.857142857142858
20,17th & Upshur St NW,19.0,2.857142857142857
390,17th St & Independence Ave SW,19.0,55.714285714285715
256,17th St & Massachusetts Ave NW,19.0,36.57142857142857
71,18th & C St NW,19.0,10.142857142857142
125,18th & L St NW,19.0,17.857142857142858
177,18th & M St NW,27.0,25.285714285714285
16,18th & Monroe St NE,19.0,2.2857142857142856
259,18th & New Hampshire Ave NW,19.0,37.0
204,18th & R St NW,19.0,29.142857142857142
148,18th St & Pennsylvania Ave NW,27.0,21.142857142857142
18,18th St & Rhode Island Ave NE,15.0,2.5714285714285716
29,18th St & S Eads St,11.0,4.142857142857143
345,18th St & Wyoming Ave NW,23.0,49.285714285714285
16,19th & E Street NW,11.0,2.2857142857142856
63,19th & East Capitol St SE,15.0,9.0
49,19th & G St NW,23.0,7.0
62,19th & K St NW,23.0,8.857142857142858
151,19th St & Constitution Ave NW,35.0,21.571428571428573
54,19th St & Pennsylvania Ave NW,15.0,7.714285714285714
145,1st & D St SE,19.0,20.714285714285715
135,1st & H St NW,15.0,19.285714285714285
232,1st & K St NE,17.0,33.142857142857146
340,1st & K St SE,15.0,48.57142857142857
398,1st & M St NE,15.0,56.857142857142854
137,1st & M St SE,19.0,19.571428571428573
100,1st & N St  SE,39.0,14.285714285714286
148,1st & O St NW,15.0,21.142857142857142
251,1st & Rhode Island Ave NW,15.0,35.857142857142854
14,1st & S Capitol St SE / Oxon Run Trail,19.0,2.0
82,1st & Washington Hospital Center NW,15.0,11.714285714285714
118,1st St & Potomac Ave SE,19.0,16.857142857142858
194,20th & Columbia Rd NW,19.0,27.714285714285715
105,20th & E St NW,15.0,15.0
164,20th & L St NW,19.0,23.428571428571427
196,20th & O St NW / Dupont South,19.0,28.0
272,20th St & Florida Ave NW,15.0,38.857142857142854
38,20th St & Virginia Ave NW,15.0,5.428571428571429
119,21st & I St NW,35.0,17.0
96,21st St & Constitution Ave NW,15.0,13.714285714285714
161,21st St & G st NW,19.0,23.0
25,21st St & N Pierce St,15.0,3.5714285714285716
79,21st St & Pennsylvania Ave NW,19.0,11.285714285714286
61,22nd & H St NW,17.0,8.714285714285714
215,22nd & I St NW / Foggy Bottom,15.0,30.714285714285715
215,22nd & P ST NW,19.0,30.714285714285715
141,22nd St & Constitution Ave NW,23.0,20.142857142857142
122,23rd & E St NW ,19.0,17.428571428571427
279,23rd & M St NW,19.0,39.857142857142854
14,23rd St S & Hayes St,15.0,2.0
120,24th & N St NW,15.0,17.142857142857142
51,24th & R St NE / National Arboretum,19.0,7.285714285714286
186,25th St & Pennsylvania Ave NW,15.0,26.571428571428573
36,28th St & S Meade St,15.0,5.142857142857143
151,2nd & G St NE,23.0,21.571428571428573
48,2nd & V St SW / James Creek Marina,19.0,6.857142857142857
138,2nd St & Massachusetts Ave NE,23.0,19.714285714285715
65,2nd St & Seaton Pl NE,19.0,9.285714285714286
